timestep,mean_reward,std_reward,mean_ep_length
50000,7.3,2.61,410.8
100000,14.8,4.26,647.0
150000,18.8,5.26,759.7
200000,20.65,5.82,758.7
250000,23.25,7.4,813.7
300000,25.15,7.66,875.9
350000,25.5,8.35,896.5
400000,27.85,6.54,950.1
450000,28.6,8.97,938.1
500000,30.85,9.2,990.4
