timestep,mean_reward,std_reward,mean_ep_length
50000,12.7,3.23,591.4
100000,16.85,4.75,683.8
150000,17.15,3.35,688.9
200000,17.75,6.34,687.5
250000,21.3,7.0,751.1
300000,28.55,11.75,951.7
350000,24.65,7.89,873.5
400000,28.25,12.8,912.0
450000,21.45,6.61,778.2
500000,24.95,6.61,890.1
