timestep,mean_reward,std_reward,mean_ep_length
50000,14.8,3.56,624.6
100000,16.3,5.25,652.6
150000,18.55,5.76,742.6
200000,27.9,10.13,911.3
250000,23.8,6.74,861.5
300000,25.8,9.44,856.9
350000,25.45,9.32,857.1
400000,25.15,10.01,881.0
450000,21.05,12.68,748.6
500000,23.7,11.98,796.1
