timestep,mean_reward,std_reward,mean_ep_length
50000,10.45,3.46,514.2
100000,16.3,3.91,689.5
150000,21.95,6.22,815.2
200000,23.35,6.7,819.0
250000,25.15,9.42,877.7
300000,29.25,5.56,963.9
350000,30.9,7.13,978.0
400000,31.45,7.9,964.3
450000,33.6,8.71,1053.3
500000,29.6,7.31,929.2
