timestep,mean_reward,std_reward,mean_ep_length
50000,9.7,2.55,496.6
100000,14.2,5.01,623.5
150000,15.05,4.57,648.0
200000,19.15,4.08,758.6
250000,22.55,5.82,802.2
300000,22.45,7.32,820.0
350000,24.6,5.79,848.5
400000,29.7,11.71,954.6
450000,24.95,9.1,878.7
500000,26.65,10.24,904.3
