timestep,mean_reward,std_reward,mean_ep_length
50000,12.85,4.03,580.0
100000,11.55,3.65,542.9
150000,15.0,5.05,640.5
200000,13.1,4.43,587.3
250000,19.45,7.35,750.3
300000,22.35,7.12,789.7
350000,21.8,5.97,796.8
400000,22.45,8.52,808.5
450000,18.5,8.54,679.9
500000,19.65,5.6,750.0
