timestep,mean_reward,std_reward,mean_ep_length
50000,11.05,2.67,557.0
100000,15.5,3.34,640.1
150000,17.5,7.1,700.7
200000,14.5,4.66,626.8
250000,23.95,8.23,840.3
300000,19.95,6.6,759.8
350000,25.45,7.42,900.8
400000,30.0,7.61,974.6
450000,27.15,9.2,893.8
500000,22.45,8.66,795.5
