timestep,mean_reward,std_reward,mean_ep_length
50000,10.7,3.95,520.9
100000,11.0,6.02,496.7
150000,14.45,3.56,661.7
200000,19.55,5.67,767.1
250000,23.85,4.9,868.0
300000,24.05,6.61,851.2
350000,24.45,7.59,875.2
400000,28.75,9.04,932.6
450000,29.35,9.58,937.0
500000,31.8,8.86,1024.5
