timestep,mean_reward,std_reward,mean_ep_length
50000,12.7,3.69,568.1
100000,14.95,4.84,607.0
150000,18.4,5.85,720.5
200000,19.0,4.12,732.1
250000,20.55,7.05,755.1
300000,20.95,8.77,753.6
350000,21.35,7.73,766.0
400000,20.65,10.57,736.0
450000,27.25,9.91,899.4
500000,21.4,12.01,756.1
