timestep,mean_reward,std_reward,mean_ep_length
50000,9.65,2.89,505.8
100000,14.5,3.6,595.6
150000,14.95,2.89,639.4
200000,14.0,3.56,618.3
250000,13.9,5.27,600.2
300000,14.95,4.97,625.1
350000,17.2,4.37,718.8
400000,16.9,5.25,696.9
450000,17.8,6.97,682.6
500000,23.8,6.0,857.8
