timestep,mean_reward,std_reward,mean_ep_length
50000,15.4,5.79,646.7
100000,16.9,4.77,685.5
150000,18.95,5.16,731.9
200000,22.75,5.33,839.1
250000,22.0,6.88,817.4
300000,20.45,6.77,755.5
350000,26.3,6.75,896.8
400000,22.8,8.45,815.5
450000,24.8,7.79,858.4
500000,18.3,6.72,684.8
