timestep,mean_reward,std_reward,mean_ep_length
50000,16.7,4.21,702.7
100000,18.15,3.76,725.7
150000,20.9,6.57,765.2
200000,21.95,6.84,829.7
250000,20.2,6.54,756.5
300000,25.85,6.51,888.1
350000,22.55,6.34,844.8
400000,23.9,6.84,887.2
450000,28.25,7.69,947.6
500000,21.3,8.2,779.3
