timestep,mean_reward,std_reward,mean_ep_length
50000,17.35,4.17,711.0
100000,24.05,4.74,859.6
150000,23.55,5.42,857.3
200000,20.3,7.18,751.5
250000,18.95,8.88,717.5
300000,24.8,4.66,907.9
350000,25.45,9.86,875.6
400000,24.45,9.26,877.5
450000,26.45,7.34,905.5
500000,26.7,8.16,882.7
