timestep,mean_reward,std_reward,mean_ep_length
50000,16.75,4.84,686.6
100000,21.0,5.03,809.1
150000,20.55,5.49,786.7
200000,25.1,7.06,877.8
250000,27.05,8.33,919.6
300000,23.25,6.27,829.5
350000,25.45,6.28,888.5
400000,26.85,6.73,940.1
450000,24.4,8.43,841.9
500000,27.05,5.54,917.5
