timestep,mean_reward,std_reward,mean_ep_length
50000,16.85,5.26,689.5
100000,21.5,4.9,816.1
150000,21.3,6.44,800.6
200000,24.75,7.09,854.7
250000,20.85,7.84,779.7
300000,24.7,8.46,852.9
350000,22.6,5.56,814.2
400000,24.15,10.11,867.0
450000,23.45,6.73,835.1
500000,23.25,6.68,852.4
