timestep,mean_reward,std_reward,mean_ep_length
50000,15.35,4.04,666.9
100000,17.1,4.06,708.6
150000,21.85,6.7,815.6
200000,21.9,5.58,818.1
250000,25.5,8.59,890.5
300000,25.6,7.97,870.0
350000,23.6,8.39,797.7
400000,27.1,9.49,904.6
450000,30.9,11.32,965.4
500000,27.8,7.51,935.3
