timestep,mean_reward,std_reward,mean_ep_length
50000,15.65,4.92,655.5
100000,19.85,5.79,752.4
150000,23.55,7.49,831.7
200000,29.25,6.1,955.2
250000,24.75,7.71,851.2
300000,25.95,8.99,911.0
350000,28.55,11.66,939.8
400000,26.25,6.95,908.4
450000,25.05,8.1,848.6
500000,23.45,6.74,849.8
