timestep,mean_reward,std_reward,mean_ep_length
50000,16.3,5.72,680.4
100000,16.55,5.17,675.9
150000,19.95,5.23,776.5
200000,20.95,4.54,757.6
250000,22.3,7.98,799.0
300000,18.55,6.98,740.9
350000,21.3,5.75,799.8
400000,24.8,6.69,884.8
450000,22.4,7.96,821.0
500000,23.85,8.9,848.6
